,a,b,c,d
222,46,65,37,148.0
223,30,58,32,120.0
224,65,59,92,216.0
225,57,2,6,65.0
226,78,21,12,111.0
227,65,21,86,172.0
228,28,15,11,54.0
229,51,17,37,105.0
230,1,84,95,180.0
231,71,18,3,92.0
232,28,0,46,74.0
233,29,4,43,76.0
234,37,7,61,105.0
235,62,90,59,211.0
236,74,2,23,99.0
237,79,52,8,139.0
238,0,47,61,108.0
239,83,79,79,241.0
240,22,36,41,99.0
241,99,27,78,204.0
242,70,79,67,216.0
243,22,72,84,178.0
244,25,90,83,198.0
245,43,46,48,137.0
246,39,81,57,177.0
247,21,48,95,164.0
248,85,57,17,159.0
249,87,78,11,176.0
250,15,13,5,33.0
251,54,62,38,154.0
252,62,55,85,202.0
253,24,47,19,90.0
254,19,54,21,94.0
255,38,11,41,90.0
256,23,82,19,124.0
257,95,24,40,159.0
258,16,68,64,148.0
259,96,83,42,221.0
260,71,43,86,200.0
261,93,76,84,253.0
262,35,94,20,149.0
263,17,87,33,137.0
264,76,21,47,144.0
265,68,21,24,113.0
266,33,93,87,213.0
267,76,73,41,190.0
268,4,47,60,111.0
269,79,47,2,128.0
270,72,12,24,108.0
271,8,43,85,136.0
272,17,43,28,88.0
273,59,45,17,121.0
274,38,46,70,154.0
275,94,10,74,178.0
276,14,45,48,107.0
277,81,66,28,175.0
278,84,97,66,247.0
279,20,8,25,53.0
280,70,0,66,136.0
281,94,9,88,191.0
282,43,37,1,81.0
283,98,55,46,199.0
284,54,96,51,201.0
285,23,77,71,171.0
286,44,18,44,106.0
287,92,40,69,201.0
288,29,99,15,143.0
289,17,48,32,97.0
290,78,28,25,131.0
291,79,45,46,170.0
292,49,27,22,98.0
293,92,11,36,139.0
294,27,68,53,148.0
295,84,21,58,163.0
296,85,93,45,223.0
297,74,73,11,158.0
298,12,76,2,90.0
299,93,97,67,257.0
300,83,96,72,251.0
301,38,86,70,194.0
302,68,94,33,195.0
303,90,17,36,143.0
304,88,42,9,139.0
305,54,11,66,131.0
306,23,86,78,187.0
307,55,49,7,111.0
308,94,9,55,158.0
309,80,31,84,195.0
310,3,5,67,75.0
311,43,36,16,95.0
312,1,75,98,174.0
313,18,85,57,160.0
314,20,90,91,201.0
315,3,75,18,96.0
316,76,27,20,123.0
317,67,98,66,231.0
318,4,2,55,61.0
319,84,9,36,129.0
320,75,97,81,253.0
321,94,77,44,215.0
322,15,75,7,97.0
323,5,57,61,123.0
324,84,99,88,271.0
325,42,78,80,200.0
326,17,4,32,53.0
327,57,2,55,114.0
328,52,78,77,207.0
329,54,57,86,197.0
330,64,40,23,127.0
331,80,27,87,194.0
332,56,52,78,186.0
333,26,97,18,141.0
334,38,45,21,104.0
335,79,46,54,179.0
336,9,88,66,163.0
337,79,36,62,177.0
338,30,80,82,192.0
339,94,85,3,182.0
340,26,27,39,92.0
341,93,13,6,112.0
342,42,88,17,147.0
343,46,29,43,118.0
344,65,39,60,164.0
345,62,54,89,205.0
346,46,30,57,133.0
347,68,47,68,183.0
348,46,4,40,90.0
349,78,79,95,252.0
350,3,88,31,122.0
351,21,90,50,161.0
352,24,73,10,107.0
353,36,52,69,157.0
354,92,91,91,274.0
355,59,50,52,161.0
356,26,85,41,152.0
357,30,51,78,159.0
358,98,60,15,173.0
359,28,85,58,171.0
360,59,27,65,151.0
361,30,39,81,150.0
362,19,19,68,106.0
363,21,10,99,130.0
364,3,89,55,147.0
365,74,2,69,145.0
366,80,71,53,204.0
367,51,90,47,188.0
368,13,72,89,174.0
369,26,59,49,134.0
370,62,21,70,153.0
371,75,97,96,268.0
372,2,26,96,124.0
373,63,96,40,199.0
374,2,25,24,51.0
375,29,19,75,123.0
376,56,56,72,184.0
377,0,76,51,127.0
378,19,96,47,162.0
379,90,83,32,205.0
380,53,90,21,164.0
381,39,6,70,115.0
382,53,70,19,142.0
383,13,14,73,100.0
384,51,49,87,187.0
385,64,77,23,164.0
386,19,12,68,99.0
387,23,38,40,101.0
388,49,83,66,198.0
389,64,12,58,134.0
390,94,70,46,210.0
391,31,11,45,87.0
392,3,70,6,79.0
393,36,14,84,134.0
394,44,54,9,107.0
395,37,82,97,216.0
396,45,12,39,96.0
397,90,91,26,207.0
398,27,78,45,150.0
399,48,52,65,165.0
400,21,39,50,110.0
401,77,53,11,141.0
402,88,4,72,164.0
403,24,48,45,117.0
404,5,2,31,38.0
405,80,35,87,202.0
406,5,26,61,92.0
407,36,84,53,173.0
408,68,33,98,199.0
409,52,32,92,176.0
410,3,29,79,111.0
411,86,48,52,186.0
412,79,32,60,171.0
413,39,95,53,187.0
414,80,86,39,205.0
415,58,21,63,142.0
416,24,17,77,118.0
417,94,42,22,158.0
418,61,95,76,232.0
419,47,66,85,198.0
420,92,59,97,248.0
421,45,83,60,188.0
422,12,56,1,69.0
423,76,95,41,212.0
424,39,26,30,95.0
425,93,9,63,165.0
426,58,85,51,194.0
427,65,99,66,230.0
428,6,40,23,69.0
429,21,92,44,157.0
430,80,99,16,195.0
431,55,65,94,214.0
432,55,73,90,218.0
433,97,94,69,260.0
434,33,70,70,173.0
435,67,22,71,160.0
436,19,34,23,76.0
437,14,27,57,98.0
438,18,29,12,59.0
439,10,80,96,186.0
440,28,43,95,166.0
441,44,23,88,155.0
442,76,34,62,172.0
443,76,28,29,133.0
444,91,28,12,131.0
445,69,28,2,99.0
446,43,26,4,73.0
447,49,38,53,140.0
448,56,62,69,187.0
449,31,42,88,161.0
450,48,16,92,156.0
451,58,46,71,175.0
452,7,98,68,173.0
453,7,29,70,106.0
454,24,29,16,69.0
455,69,87,9,165.0
456,21,24,66,111.0
457,33,85,28,146.0
458,30,67,1,98.0
459,67,18,32,117.0
460,62,10,73,145.0
461,92,79,97,268.0
462,38,2,9,49.0
463,77,98,60,235.0
464,20,63,14,97.0
465,93,7,13,113.0
466,8,12,23,43.0
467,99,72,19,190.0
468,42,76,54,172.0
469,27,53,25,105.0
470,1,47,6,54.0
471,71,71,92,234.0
472,7,84,53,144.0
473,60,46,32,138.0
474,6,92,15,113.0
475,92,86,4,182.0
476,9,5,50,64.0
477,14,33,16,63.0
478,74,64,43,181.0
479,23,82,75,180.0
480,42,32,1,75.0
481,68,37,61,166.0
482,16,93,31,140.0
483,15,2,45,62.0
484,60,8,10,78.0
485,14,76,15,105.0
486,42,35,82,159.0
487,2,59,74,135.0
488,38,2,28,68.0
489,7,69,77,153.0
490,30,2,32,64.0
491,72,46,39,157.0
492,17,19,44,80.0
493,29,18,7,54.0
494,90,57,77,224.0
495,37,84,43,164.0
496,91,11,48,150.0
497,83,18,70,171.0
498,51,35,41,127.0
499,91,83,34,208.0
500,48,7,28,83.0
501,81,60,58,199.0
502,55,52,57,164.0
503,79,45,30,154.0
504,33,52,51,136.0
505,23,49,84,156.0
506,5,70,43,118.0
507,51,86,38,175.0
508,36,28,76,140.0
509,29,18,47,94.0
510,28,9,84,121.0
511,63,61,21,145.0
512,46,34,3,83.0
513,61,87,18,166.0
514,57,94,90,241.0
515,5,96,44,145.0
516,30,51,52,133.0
517,68,76,93,237.0
518,5,87,11,103.0
519,30,82,31,143.0
520,48,51,75,174.0
521,76,92,11,179.0
522,14,11,5,30.0
523,41,6,9,56.0
524,8,77,38,123.0
525,35,97,28,160.0
526,30,10,58,98.0
527,21,97,94,212.0
528,71,87,9,167.0
529,59,27,36,122.0
530,10,66,26,102.0
531,25,99,37,161.0
532,93,59,4,156.0
533,64,65,48,177.0
534,30,22,65,117.0
535,78,65,77,220.0
536,25,76,18,119.0
537,59,23,54,136.0
538,21,9,13,43.0
539,93,78,94,265.0
540,24,49,29,102.0
541,12,14,46,72.0
542,71,19,93,183.0
543,33,51,1,85.0
544,26,10,17,53.0
545,70,4,22,96.0
546,38,44,85,167.0
547,69,28,62,159.0
548,62,36,56,154.0
549,64,39,79,182.0
550,54,5,88,147.0
551,58,48,22,128.0
552,16,77,41,134.0
553,38,43,50,131.0
554,11,13,45,69.0
555,84,76,93,253.0
556,8,86,11,105.0
557,84,14,45,143.0
558,89,44,16,149.0
559,95,87,24,206.0
560,16,87,13,116.0
561,2,12,95,109.0
562,24,49,65,138.0
563,98,14,95,207.0
564,9,95,37,141.0
565,28,64,14,106.0
566,11,85,71,167.0
567,43,25,63,131.0
568,17,75,35,127.0
569,70,74,16,160.0
570,33,3,79,115.0
571,86,50,10,146.0
572,27,16,22,65.0
573,56,13,86,155.0
574,40,57,53,150.0
575,49,4,96,149.0
576,64,85,46,195.0
577,72,74,77,223.0
578,41,1,32,74.0
579,9,78,63,150.0
580,34,81,90,205.0
581,38,38,13,89.0
582,83,26,85,194.0
583,81,32,46,159.0
584,97,57,42,196.0
585,80,72,26,178.0
586,38,19,55,112.0
587,56,96,98,250.0
588,99,83,13,195.0
589,10,71,54,135.0
590,18,67,79,164.0
591,0,58,85,143.0
592,52,13,51,116.0
593,16,48,83,147.0
594,84,63,1,148.0
595,94,78,73,245.0
596,23,52,8,83.0
597,75,64,30,169.0
598,96,76,51,223.0
599,75,33,88,196.0
600,5,14,87,106.0
601,22,56,37,115.0
602,15,13,50,78.0
603,20,99,84,203.0
604,74,68,84,226.0
605,65,98,99,262.0
606,49,82,33,164.0
607,65,0,5,70.0
608,54,22,15,91.0
609,81,97,5,183.0
610,43,79,41,163.0
611,15,56,40,111.0
612,27,14,98,139.0
613,47,89,89,225.0
614,91,8,2,101.0
615,50,7,87,144.0
616,75,61,77,213.0
617,67,35,5,107.0
618,92,27,8,127.0
619,42,3,92,137.0
620,92,19,41,152.0
621,37,50,21,108.0
622,47,46,31,124.0
623,92,53,64,209.0
624,15,37,63,115.0
625,12,83,76,171.0
626,52,91,87,230.0
627,77,12,79,168.0
628,84,72,19,175.0
629,26,93,32,151.0
630,70,10,18,98.0
631,2,51,28,81.0
632,38,5,39,82.0
633,93,83,34,210.0
634,54,84,70,208.0
635,94,76,12,182.0
636,1,9,80,90.0
637,84,76,96,256.0
638,14,87,63,164.0
639,63,32,53,148.0
640,11,9,23,43.0
641,77,9,0,86.0
642,47,53,9,109.0
643,96,87,38,221.0
644,75,90,66,231.0
645,31,0,40,71.0
646,65,52,10,127.0
647,17,54,94,165.0
648,12,88,93,193.0
649,6,88,91,185.0
650,99,77,8,184.0
651,47,55,59,161.0
652,52,19,17,88.0
653,14,47,97,158.0
654,28,44,67,139.0
655,34,3,24,61.0
656,55,87,63,205.0
657,48,25,35,108.0
658,19,2,20,41.0
659,32,90,67,189.0
660,43,34,43,120.0
661,59,14,51,124.0
662,36,17,74,127.0
663,78,44,91,213.0
664,21,10,37,68.0
665,16,55,27,98.0
666,79,15,29,123.0
667,29,56,99,184.0
668,88,25,44,157.0
669,26,38,34,98.0
670,51,11,23,85.0
671,8,0,83,91.0
672,31,55,28,114.0
673,14,72,68,154.0
674,2,64,63,129.0
675,99,49,41,189.0
676,40,1,88,129.0
677,55,77,77,209.0
678,63,40,10,113.0
679,40,46,61,147.0
680,14,20,66,100.0
681,52,4,46,102.0
682,81,11,81,173.0
683,53,29,23,105.0
684,93,78,88,259.0
685,41,18,27,86.0
686,65,64,59,188.0
687,60,74,60,194.0
688,66,95,96,257.0
689,50,48,33,131.0
690,11,79,41,131.0
691,68,11,92,171.0
692,37,42,21,100.0
693,84,86,74,244.0
694,83,57,65,205.0
695,36,2,39,77.0
696,43,28,73,144.0
697,86,44,63,193.0
698,97,13,29,139.0
699,16,32,83,131.0
700,10,98,75,183.0
701,7,41,60,108.0
702,58,21,45,124.0
703,65,80,16,161.0
704,56,49,7,112.0
705,20,46,59,125.0
706,72,77,69,218.0
707,10,64,69,143.0
708,1,65,7,73.0
709,51,56,9,116.0
710,74,52,17,143.0
711,70,42,66,178.0
712,44,84,66,194.0
713,55,95,77,227.0
714,20,36,89,145.0
715,99,41,27,167.0
716,37,82,61,180.0
717,66,94,19,179.0
718,79,93,86,258.0
719,91,44,86,221.0
720,63,37,74,174.0
721,63,32,82,177.0
722,76,65,34,175.0
723,77,58,68,203.0
724,86,12,1,99.0
725,68,79,22,169.0
726,6,85,54,145.0
727,82,40,37,159.0
728,47,45,70,162.0
729,36,0,6,42.0
730,66,75,9,150.0
731,75,71,17,163.0
732,41,29,47,117.0
733,47,53,95,195.0
734,76,1,86,163.0
735,52,92,8,152.0
736,5,94,50,149.0
737,45,95,22,162.0
738,61,58,46,165.0
739,95,80,51,226.0
740,93,5,19,117.0
741,31,70,47,148.0
742,50,55,68,173.0
743,98,8,67,173.0
744,23,95,59,177.0
745,55,75,98,228.0
746,47,62,65,174.0
747,46,8,42,96.0
748,99,76,49,224.0
749,5,14,23,42.0
750,42,52,66,160.0
751,74,44,89,207.0
752,55,97,87,239.0
753,98,78,62,238.0
754,44,57,98,199.0
755,73,55,47,175.0
756,44,85,29,158.0
757,98,78,53,229.0
758,10,16,66,92.0
759,98,96,5,199.0
760,60,31,32,123.0
761,41,17,95,153.0
762,36,65,44,145.0
763,36,63,35,134.0
764,92,5,50,147.0
765,16,16,45,77.0
766,41,15,72,128.0
767,6,89,83,178.0
768,66,55,56,177.0
769,80,84,92,256.0
770,22,35,8,65.0
771,55,59,59,173.0
772,84,17,23,124.0
773,96,22,95,213.0
774,93,45,98,236.0
775,55,61,54,170.0
776,87,42,83,212.0
777,42,87,35,164.0
778,32,49,1,82.0
779,95,54,49,198.0
780,25,50,97,172.0
781,53,90,38,181.0
782,85,4,32,121.0
783,83,59,74,216.0
784,29,36,46,111.0
785,24,39,53,116.0
786,4,40,8,52.0
787,0,30,3,33.0
788,58,28,85,171.0
789,66,40,1,107.0
790,55,74,60,189.0
791,91,6,20,117.0
792,2,9,4,15.0
793,28,53,70,151.0
794,77,65,20,162.0
795,56,51,43,150.0
796,63,82,34,179.0
797,33,38,12,83.0
798,25,34,41,100.0
799,36,66,23,125.0
800,65,86,25,176.0
801,61,19,10,90.0
802,43,10,50,103.0
803,66,65,4,135.0
804,80,44,53,177.0
805,50,11,22,83.0
806,13,75,86,174.0
807,29,23,28,80.0
808,63,18,48,129.0
809,74,34,70,178.0
810,36,57,24,117.0
811,40,38,84,162.0
812,46,78,5,129.0
813,87,90,30,207.0
814,73,10,59,142.0
815,77,13,22,112.0
816,39,66,14,119.0
817,11,91,13,115.0
818,29,46,0,75.0
819,36,28,23,87.0
820,13,64,71,148.0
821,70,39,85,194.0
822,5,68,73,146.0
823,69,24,26,119.0
824,43,16,20,79.0
825,93,63,62,218.0
826,54,13,52,119.0
827,28,65,45,138.0
828,91,9,84,184.0
829,13,35,84,132.0
830,51,18,1,70.0
831,93,3,40,136.0
832,58,45,86,189.0
833,60,53,56,169.0
834,76,75,97,248.0
835,93,9,10,112.0
836,28,36,49,113.0
837,13,74,57,144.0
838,52,90,63,205.0
839,82,36,46,164.0
840,43,57,25,125.0
841,46,79,85,210.0
842,31,16,16,63.0
843,61,44,8,113.0
844,70,13,30,113.0
845,82,48,32,162.0
846,63,78,76,217.0
847,27,69,50,146.0
848,50,76,70,196.0
849,49,82,85,216.0
850,38,88,10,136.0
851,14,60,63,137.0
852,94,64,72,230.0
853,86,99,72,257.0
854,81,16,98,195.0
855,28,85,39,152.0
856,41,24,28,93.0
857,41,90,63,194.0
858,36,50,99,185.0
859,49,31,32,112.0
860,38,77,71,186.0
861,9,83,46,138.0
862,76,74,67,217.0
863,20,3,41,64.0
864,84,5,1,90.0
865,48,96,10,154.0
866,44,89,92,225.0
867,38,38,54,130.0
868,12,33,88,133.0
869,11,84,71,166.0
870,54,86,38,178.0
871,96,20,81,197.0
872,12,55,33,100.0
873,9,49,70,128.0
874,61,85,99,245.0
875,28,81,79,188.0
876,8,19,99,126.0
877,87,54,50,191.0
878,70,43,68,181.0
879,3,42,59,104.0
880,36,93,59,188.0
881,98,16,15,129.0
882,88,95,69,252.0
883,1,36,46,83.0
884,58,22,55,135.0
885,10,9,21,40.0
886,23,43,88,154.0
887,84,58,18,160.0
888,9,15,66,90.0
889,9,75,66,150.0
890,89,96,6,191.0
891,92,36,77,205.0
892,51,52,98,201.0
893,52,62,46,160.0
894,10,52,31,93.0
895,59,4,53,116.0
896,32,43,45,120.0
897,74,62,81,217.0
898,62,69,40,171.0
899,28,49,88,165.0
900,71,76,26,173.0
901,24,9,30,63.0
902,1,37,52,90.0
903,73,36,76,185.0
904,58,1,29,88.0
905,98,2,84,184.0
906,38,16,48,102.0
907,39,87,45,171.0
908,95,62,36,193.0
909,36,69,49,154.0
910,16,33,18,67.0
911,51,25,37,113.0
912,97,4,32,133.0
913,65,97,20,182.0
914,4,3,86,93.0
915,64,77,42,183.0
916,84,80,87,251.0
917,74,33,42,149.0
918,10,30,59,99.0
919,7,96,14,117.0
920,40,44,71,155.0
921,44,94,9,147.0
922,54,91,31,176.0
923,15,65,78,158.0
924,56,34,43,133.0
925,34,38,99,171.0
926,94,45,20,159.0
927,8,74,65,147.0
928,51,82,30,163.0
929,16,9,82,107.0
930,16,68,37,121.0
931,64,91,66,221.0
932,81,13,2,96.0
933,31,54,80,165.0
934,66,3,16,85.0
935,39,37,19,95.0
936,52,19,89,160.0
937,78,59,44,181.0
938,42,24,28,94.0
939,37,90,81,208.0
940,95,79,68,242.0
941,14,94,51,159.0
942,39,38,61,138.0
943,91,2,80,173.0
944,33,90,26,149.0
945,31,44,40,115.0
946,57,39,41,137.0
947,16,54,56,126.0
948,77,76,29,182.0
949,89,17,72,178.0
950,10,80,81,171.0
951,30,48,23,101.0
952,40,11,1,52.0
953,53,65,92,210.0
954,74,65,78,217.0
955,11,16,75,102.0
956,21,32,7,60.0
957,20,90,57,167.0
958,2,83,75,160.0
959,69,76,21,166.0
960,86,64,13,163.0
961,94,45,42,181.0
962,75,56,66,197.0
963,57,73,14,144.0
964,64,53,3,120.0
965,70,20,30,120.0
966,8,9,8,25.0
967,52,85,48,185.0
968,33,93,6,132.0
969,64,87,21,172.0
970,66,33,9,108.0
971,19,6,20,45.0
972,58,35,66,159.0
973,66,58,70,194.0
974,80,39,19,138.0
975,59,34,27,120.0
976,29,32,17,78.0
977,35,14,66,115.0
978,38,63,45,146.0
979,33,37,49,119.0
980,87,12,23,122.0
981,35,47,44,126.0
982,64,29,65,158.0
983,18,12,44,74.0
984,71,86,23,180.0
985,18,57,58,133.0
986,8,13,64,85.0
987,72,36,69,177.0
988,72,88,91,251.0
989,41,19,65,125.0
990,96,60,42,198.0
991,51,74,5,130.0
992,97,96,49,242.0
993,41,69,69,179.0
994,17,24,15,56.0
995,24,45,74,143.0
996,46,62,51,159.0
997,29,58,93,180.0
998,96,19,74,189.0
999,45,5,96,146.0
1000,76,47,51,174.0
1001,37,74,75,186.0
1002,90,62,69,221.0
1003,33,26,79,138.0
1004,33,81,50,164.0
1005,42,21,8,71.0
1006,88,95,44,227.0
1007,25,25,38,88.0
1008,71,38,4,113.0
1009,84,17,34,135.0
1010,54,63,90,207.0
1011,8,33,14,55.0
1012,82,27,23,132.0
1013,74,95,47,216.0
1014,77,20,13,110.0
1015,98,68,66,232.0
1016,82,80,1,163.0
1017,48,49,21,118.0
1018,75,26,73,174.0
1019,30,80,9,119.0
1020,61,16,19,96.0
1021,67,3,83,153.0
1022,66,21,9,96.0
1023,88,3,35,126.0
1024,25,40,2,67.0
1025,19,11,73,103.0
1026,20,76,80,176.0
1027,97,42,65,204.0
1028,91,20,86,197.0
1029,14,88,17,119.0
1030,68,14,55,137.0
1031,41,31,12,84.0
1032,52,79,72,203.0
1033,47,55,46,148.0
1034,73,84,25,182.0
1035,34,74,27,135.0
1036,19,40,69,128.0
1037,94,64,37,195.0
1038,38,65,27,130.0
1039,35,89,15,139.0
1040,34,88,68,190.0
1041,64,12,24,100.0
1042,30,79,48,157.0
1043,87,42,25,154.0
1044,63,36,19,118.0
1045,35,22,24,81.0
1046,63,5,75,143.0
1047,14,73,64,151.0
1048,35,60,39,134.0
1049,33,56,8,97.0
1050,95,69,87,251.0
1051,72,38,34,144.0
1052,87,78,55,220.0
1053,21,98,42,161.0
1054,26,12,2,40.0
1055,64,74,98,236.0
1056,28,18,21,67.0
1057,75,89,1,165.0
1058,25,0,13,38.0
1059,26,29,46,101.0
1060,57,94,51,202.0
1061,12,15,90,117.0
1062,4,65,85,154.0
1063,70,82,79,231.0
1064,10,55,60,125.0
1065,49,46,63,158.0
1066,37,74,37,148.0
1067,16,4,37,57.0
1068,80,87,42,209.0
1069,62,68,38,168.0
1070,44,8,31,83.0
1071,11,61,71,143.0
1072,13,22,38,73.0
1073,35,5,4,44.0
1074,39,30,98,167.0
1075,17,13,7,37.0
1076,8,77,25,110.0
1077,10,12,0,22.0
1078,86,57,67,210.0
1079,28,70,2,100.0
1080,98,67,42,207.0
1081,65,85,89,239.0
1082,85,36,85,206.0
1083,85,25,76,186.0
1084,43,0,78,121.0
1085,80,95,45,220.0
1086,94,63,83,240.0
1087,44,61,35,140.0
1088,0,15,90,105.0
1089,36,3,40,79.0
1090,30,73,79,182.0
1091,18,51,80,149.0
1092,58,1,79,138.0
1093,97,37,62,196.0
1094,41,4,76,121.0
1095,66,13,9,88.0
1096,13,94,97,204.0
1097,29,3,9,41.0
1098,61,16,78,155.0
1099,76,43,80,199.0
1100,44,69,26,139.0
1101,79,45,87,211.0
1102,15,67,33,115.0
1103,82,67,3,152.0
1104,76,39,51,166.0
1105,1,9,92,102.0
1106,5,98,20,123.0
1107,30,1,6,37.0
1108,76,12,0,88.0
1109,33,8,56,97.0
1110,74,98,61,233.0
1111,7,63,10,80.0
1112,69,55,7,131.0
1113,93,17,86,196.0
1114,45,83,48,176.0
1115,27,48,82,157.0
1116,33,93,59,185.0
1117,3,14,92,109.0
1118,96,44,29,169.0
1119,99,54,4,157.0
1120,28,26,41,95.0
1121,43,36,88,167.0
1122,66,14,1,81.0
1123,52,0,56,108.0
1124,35,84,47,166.0
1125,18,80,64,162.0
1126,18,53,65,136.0
1127,89,37,29,155.0
1128,52,64,3,119.0
1129,9,41,2,52.0
1130,56,22,29,107.0
1131,52,23,85,160.0
1132,46,95,88,229.0
1133,72,96,31,199.0
1134,44,73,26,143.0
1135,63,39,1,103.0
1136,34,29,59,122.0
1137,44,78,13,135.0
1138,91,29,6,126.0
1139,14,71,89,174.0
1140,81,66,93,240.0
1141,40,97,65,202.0
1142,79,3,42,124.0
1143,97,5,91,193.0
1144,96,39,21,156.0
1145,20,9,28,57.0
1146,51,68,48,167.0
1147,43,52,11,106.0
1148,39,42,79,160.0
1149,8,11,86,105.0
1150,24,68,6,98.0
1151,20,60,20,100.0
